oln_id	uniprot_acc	gene_name	description	synonyms
YHL004W	P32902	MRP4	37S ribosomal protein MRP4, mitochondrial precursor	MRP4A
YMR158W	Q03799	MRPS8	37S ribosomal protein S8, mitochondrial	
YBR146W	P38120	MRPS9	37S ribosomal protein S9, mitochondrial precursor	
YMR188C	Q03246	MRPS17	37S ribosomal protein S17, mitochondrial	
YGL129C	Q01163	RSM23	37S ribosomal protein S23, mitochondrial precursor	
YDR175C	Q03976	RSM24	37S ribosomal protein S24, mitochondrial precursor	
YGR213C	P53047	RTA1	Protein RTA1	
YDL025C	Q12100	RTK1	Probable serine/threonine-protein kinase RTK1	
YBR181C	P0CX38	RPS6B	40S ribosomal protein S6-B	RPS102;RPS10A
YPL193W	Q08932	RSA1	Ribosome assembly 1 protein	
YLR033W	Q07979	RSC58	Chromatin structure-remodeling complex protein RSC58	
YML127W	Q03124	RSC9	Chromatin structure-remodeling complex subunit RSC9	
YMR030W	Q05043	RSF1	Respiration factor 1	
YGR152C	P13856	RSR1	Ras-related protein RSR1 precursor	BUD1
YDR347W	P10662	MRP1	37S ribosomal protein MRP1, mitochondrial precursor	
YJR113C	P47150	RSM7	37S ribosomal protein S7, mitochondrial precursor	
YHR154W	P38850	RTT107	Regulator of Ty1 transposition protein 107	ESC4
YLL002W	Q07794	RTT109	Histone acetyltransferase RTT109	KIM2;REM50
YBL090W	P38175	MRP21	37S ribosomal protein MRP21, mitochondrial precursor	MRP50
YIL093C	P40496	RSM25	37S ribosomal protein S25, mitochondrial	
YDR233C	Q04947	RTN1	Reticulon-like protein 1	
YER139C	P40084	RTR1	RNA polymerase II subunit B1 CTD phosphatase RTR1	
YGR161C	P53289	RTS3	Protein phosphatase type 2A regulatory subunit RTS3	
YBR189W	P05755	RPS9B	40S ribosomal protein S9-B	RPS13B;SUP46
YGR056W	P53236	RSC1	Chromatin structure-remodeling complex subunit RSC1	
YDR303C	Q06639	RSC3	Chromatin structure-remodeling complex protein RSC3	
YFR037C	P43609	RSC8	Chromatin structure-remodeling complex protein RSC8	SWH3
YER050C	P40033	RSM18	37S ribosomal protein RSM18, mitochondrial precursor	
YLR048W	P46654	RPS0B	40S ribosomal protein S0-B {ECO:0000255|HAMAP-Rule:MF_03015}	NAB1B;NAB4;YST2
YNL206C	P40161	RTT106	Histone chaperone RTT106	
YDR041W	Q03201	RSM10	37S ribosomal protein S10, mitochondrial precursor	
YGR215W	P53305	RSM27	Mitochondrial 37S ribosomal protein S27	
YDR337W	P21771	MRPS28	37S ribosomal protein S28, mitochondrial precursor	
YPL118W	Q02950	MRP51	37S ribosomal protein MRP51, mitochondrial	
YGL244W	P53064	RTF1	RNA polymerase-associated protein RTF1	CSL3
YIL061C	Q00916	SNP1	U1 small nuclear ribonucleoprotein 70 kDa homolog	
YBR119W	P32605	MUD1	U1 small nuclear ribonucleoprotein A	
YCR009C	P25343	RVS161	Reduced viability upon starvation protein 161	END6;SPE161
YBR280C	P38352	SAF1	SCF-associated factor 1	
YHR083W	P14693	SAM35	Sorting assembly machinery 35 kDa subunit	OMP85;TOB38;TOM38
YHR056C	P38781	RSC30	Chromatin structure-remodeling complex protein RSC30	
YKR008W	Q02206	RSC4	Chromatin structure-remodeling complex subunit RSC4	
YMR091C	P32832	NPL6	Chromatin structure-remodeling complex subunit RSC7	RSC7
YJR101W	P47141	RSM26	37S ribosomal protein S26, mitochondrial	
YFR049W	P19955	YMR31	37S ribosomal protein YMR-31, mitochondrial precursor	
YGR165W	P53292	MRPS35	37S ribosomal protein S35, mitochondrial precursor	
YOL138C	Q08281	RTC1	Restriction of telomere capping protein 1	SEA2
YBL103C	P38165	RTG3	Retrograde regulation protein 3	
YOR077W	P40962	RTS2	Zinc finger protein RTS2	
YDR139C	Q03919	RUB1	NEDD8-like protein RUB1 precursor	
YPL235W	Q12464	RVB2	RuvB-like protein 2	TIH2;TIP49B
YDL119C	Q07534	HEM25	Solute carrier family 25 member 38 homolog {ECO:0000255|HAMAP-Rule:MF_03064}	
YKR028W	P36123	SAP190	SIT4-associating protein SAP190	
YFR005C	P43589	SAD1	Pre-mRNA-splicing factor SAD1	
YHR079C-A	P89114	SAE3	Pachytene arrest protein SAE3	
YER129W	P38990	SAK1	SNF1-activating kinase 1	PAK1
YPL273W	Q08985	SAM4	Homocysteine S-methyltransferase 2	
YDL153C	Q12136	SAS10	Something about silencing protein 10	UTP3
YDR181C	Q04003	SAS4	Something about silencing protein 4	
YOR213C	Q99314	SAS5	Something about silencing protein 5	
YDR494W	Q03430	RSM28	37S ribosomal protein RSM28, mitochondrial precursor	
YGR214W	P32905	RPS0A	40S ribosomal protein S0-A {ECO:0000255|HAMAP-Rule:MF_03015}	NAB1;NAB1A;YST1
YDR289C	Q05543	RTT103	Regulator of Ty1 transposition protein 103	
YNR036C	P53732	MRPS12	37S ribosomal protein S12, mitochondrial precursor	
YPL013C	Q02608	MRPS16	37S ribosomal protein S16, mitochondrial	
YKL155C	P36056	RSM22	37S ribosomal protein S22, mitochondrial precursor	
YOR118W	Q12108	RTC5	Restriction of telomere capping protein 5	
YGL252C	P32608	RTG2	Retrograde regulation protein 2	
YOR216C	Q12234	RUD3	GRIP domain-containing protein RUD3	GRP1
YDR159W	P46674	SAC3	Nuclear mRNA export protein SAC3	LEP1
YDR180W	Q04002	SCC2	Sister chromatid cohesion protein 2	
YBR037C	P23833	SCO1	Protein SCO1, mitochondrial precursor	
YOL067C	P32607	RTG1	Retrograde regulation protein 1	
YMR185W	Q12751	RTP1	RNA polymerase II assembly factor RTP1 {ECO:0000305|PubMed:23438601}	
YOR158W	P17558	PET123	37S ribosomal protein PET123, mitochondrial	
YDR066C	Q12378	RTR2	RNA polymerase II subunit B1 CTD phosphatase RTR2	
YLR298C	Q05900	YHC1	U1 small nuclear ribonucleoprotein C {ECO:0000255|HAMAP-Rule:MF_03153}	
YPL213W	Q08963	LEA1	U2 small nuclear ribonucleoprotein A'	
YOR138C	Q12242	RUP1	UBA domain-containing protein RUP1	
YDR190C	Q03940	RVB1	RuvB-like protein 1	TIH1;TIP49A
YDL076C	Q07458	RXT3	Transcriptional regulatory protein RXT3	
YJR004C	P20840	SAG1	Alpha-agglutinin precursor	AGAL1
YDR143C	P22470	SAN1	Protein SAN1	
YPL218W	P20606	SAR1	Small COPII coat GTPase SAR1	
YGR263C	P53324	SAY1	Steryl acetyl hydrolase 1	
YIL026C	P40541	IRR1	Cohesin subunit SCC3	SCC3
YER147C	P40090	SCC4	MAU2 chromatid cohesion factor homolog	
Q0160	P03882	SCEI	Intron-encoded endonuclease I-SceI	OMEGA;SECY
YBL091C-A	Q6Q595	SCS22	Vesicle-associated membrane protein-associated protein SCS22	
YDR469W	Q03323	SDC1	COMPASS component SDC1	CPS25;SAF19
YDR511W	Q04401	SDH7	Succinate dehydrogenase assembly factor 3, mitochondrial {ECO:0000303|PubMed:24954417} precursor	ACN9 {ECO:0000303|PubMed:8878673}
YBR269C	P38345	SDH8	Succinate dehydrogenase assembly factor 4, mitochondrial {ECO:0000303|PubMed:24954416} precursor	FMP21 {ECO:0000303|PubMed:14576278}
YIL084C	P40505	SDS3	Transcriptional regulatory protein SDS3	
YGR275W	P53330	RTT102	Regulator of Ty1 transposition protein 102	
YNL254C	P53850	RTC4	Restriction of telomere capping protein 4	
YDL204W	Q12443	RTN2	Reticulon-like protein 2	
YPR182W	P54999	SMX3	Small nuclear ribonucleoprotein F	
YBR095C	P38255	RXT2	Transcriptional regulatory protein RXT2	RAF60
YFR040W	P43612	SAP155	SIT4-associating protein SAP155	
YKL212W	P32368	SAC1	Phosphoinositide phosphatase SAC1	RSD1
YER043C	P39954	SAH1	Adenosylhomocysteinase	
YMR060C	P50110	SAM37	Sorting assembly machinery 37 kDa subunit	MAS37;PET3027;TOM37
YPL274W	Q08986	SAM3	S-adenosylmethionine permease SAM3	
YMR127C	P40963	SAS2	Histone acetyltransferase SAS2	ESO1
Q0060	P03877	AI3	Intron-encoded DNA endonuclease aI3 precursor	ENS3;I-SCEIII
YMR214W	P25303	SCJ1	DnaJ-related protein SCJ1 precursor	
YGR049W	P32564	SCM4	Protein SCM4	
YKL141W	P33421	SDH3	Succinate dehydrogenase [ubiquinone] cytochrome b subunit, mitochondrial precursor	CYB3
YKL148C	Q00711	SDH1	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial precursor	SDHA
YBR214W	P38314	SDS24	Protein SDS24	
YBR080C	P18759	SEC18	Vesicular-fusion protein SEC18	
YDR077W	Q01589	SED1	Cell wall protein SED1 precursor	
YCR067C	P25365	SED4	Putative guanine nucleotide-exchange factor SED4	
YOR159C	Q12330	SME1	Small nuclear ribonucleoprotein E	
YFL017W-A	P40204	SMX2	Small nuclear ribonucleoprotein G	SNP2
YDR388W	P39743	RVS167	Reduced viability upon starvation protein 167	
YNL026W	P53969	SAM50	Sorting assembly machinery 50 kDa subunit	TOB55
YJL080C	P06105	SCP160	Protein SCP160	HX
YER019C-A	P52871	SBH2	Protein transport protein SBH2	SEB2
YDL003W	Q12158	MCD1	Sister chromatid cohesion protein 1	PDS3;RHC21;SCC1
YPR129W	P45978	SCD6	Protein SCD6	
Q0070	Q9ZZX1	AI5_ALPHA	Intron-encoded DNA endonuclease aI5 alpha precursor	I-SCEIV {ECO:0000303|PubMed:9675098}
YOR367W	Q08873	SCP1	Transgelin	
YMR272C	Q03529	SCS7	Ceramide very long chain fatty acid hydroxylase SCS7	FAH1
YMR305C	Q04951	SCW10	Probable family 17 glucosidase SCW10 precursor	
YOL071W	Q08230	SDH5	Succinate dehydrogenase assembly factor 2, mitochondrial {ECO:0000255|HAMAP-Rule:MF_03057, ECO:0000303|PubMed:23062074} precursor	ECO:0000303|PubMed:19628817};EMI5 {ECO:0000303|PubMed:12586695}
YIL113W	P40479	SDP1	Dual-specificity protein phosphatase SDP1	
YGL224C	P53078	SDT1	Suppressor of disruption of TFIIS	SSM1
YLR166C	Q06245	SEC10	Exocyst complex component SEC10	
YNR026C	P11655	SEC12	Guanine nucleotide-exchange factor SEC12	SED2
YMR079W	P24280	SEC14	SEC14 cytosolic factor	PIT1
YPR181C	P15303	SEC23	Protein transport protein SEC23	
YNL272C	P17065	SEC2	Rab guanine nucleotide exchange factor SEC2	
YDL195W	P38968	SEC31	Protein transport protein SEC31	WEB1
YMR013C	P20048	SEC59	Dolichol kinase	
YPL094C	P21825	SEC62	Translocation protein SEC62	
YML105C	P29478	SEC65	Signal recognition particle subunit SEC65	
YDR113C	P40316	PDS1	Securin	
YKL105C	P34250	SEG2	Eisosome protein SEG2	
YJL098W	P40856	SAP185	SIT4-associating protein SAP185	
YER047C	P39955	SAP1	Protein SAP1	
YMR263W	P38429	SAP30	Transcriptional regulatory protein SAP30	
YGL229C	P53036	SAP4	SIT4-associating protein SAP4	
YDR086C	P35179	SSS1	Protein transport protein SSS1	
YGL126W	P53012	SCS3	FIT family protein SCS3	FIT2B
YGL028C	P53189	SCW11	Probable family 17 glucosidase SCW11 precursor	
YDR379C-A	Q3E785	SDH6	Succinate dehydrogenase assembly factor 1, mitochondrial {ECO:0000303|PubMed:19465911}	
YPL085W	P48415	SEC16	COPII coat assembly protein SEC16	
YLR440C	Q12745	SEC39	Protein transport protein SEC39	DSL3
YDR166C	P89102	SEC5	Exocyst complex component SEC5	
YOR254C	P14906	SEC63	Protein translocation protein SEC63	NPL1;PTL1
YLR292C	P39742	SEC72	Translocation protein SEC72	SEC67;SIM2
YDR170C	P11075	SEC7	Protein transport protein SEC7	
YMR086W	Q04279	SEG1	Eisosome protein SEG1	
YJL105W	P42948	SET4	SET domain-containing protein 4	
YKR029C	P36124	SET3	SET domain-containing protein 3	
YPR198W	P33335	SGE1	Protein SGE1	NOR1
YPL047W	Q03067	SGF11	SAGA-associated factor 11 {ECO:0000255|HAMAP-Rule:MF_03047}	
YBL052C	P34218	SAS3	Histone acetyltransferase SAS3	
YKL117W	P28707	SBA1	Co-chaperone protein SBA1	
YLL041C	P21801	SDH2	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial precursor	SDH;SDHB
YHR087W	P38804	RTC3	Restriction of telomere capping protein 3	
YDR164C	P30619	SEC1	Protein transport protein SEC1	
YDR498C	P28791	SEC20	Protein transport protein SEC20	
YBR171W	P33754	SEC66	Translocation protein SEC66	HSS1;SEC71
YIL068C	P32844	SEC6	Exocyst complex component SEC6	
YGL100W	P53011	SEH1	Nucleoporin SEH1	
YDR363W-A	O94742	SEM1	26S proteasome complex subunit SEM1	DSH1
YPL083C	Q02825	SEN54	tRNA-splicing endonuclease subunit SEN54	
YMR288W	P49955	HSH155	U2 snRNP component HSH155	
YJR095W	P33303	SFC1	Succinate/fumarate mitochondrial transporter	ACR1
YJL145W	P47008	SFH5	Phosphatidylinositol transfer protein SFH5	
YLL003W	Q12369	SFI1	Protein SFI1	
YOR140W	P20134	SFL1	Flocculation suppression protein	
YIR001C	P40561	SGN1	RNA-binding protein SGN1	RBP29
YDR294C	Q05567	DPL1	Sphingosine-1-phosphate lyase	BST1
YOR057W	Q08446	SGT1	Protein SGT1 {ECO:0000303|PubMed:10445024, ECO:0000303|PubMed:12456005}	
YOR007C	Q12118	SGT2	Small glutamine-rich tetratricopeptide repeat-containing protein 2	
YER118C	P40073	SHO1	High osmolarity signaling protein SHO1	SSU81
YDR389W	P17121	SAC7	GTPase-activating protein SAC7	
YAL027W	P39735	SAW1	Single-strand annealing weakened protein 1	
YHR103W	P38814	SBE22	Protein SBE22	
YDR351W	P42223	SBE2	Protein SBE2	
YLR378C	P32915	SEC61	Protein transport protein SEC61	
YER087C-B	P52870	SBH1	Protein transport protein SBH1	SEB1
YOR329C	P34758	SCD5	Protein SCD5	FTB1
Q0065	P03878	AI4	Intron-encoded DNA endonuclease aI4 precursor	ENS2;I-SCEII
YHR205W	P11792	SCH9	Serine/threonine-protein kinase SCH9	KOM1
YDL139C	Q12334	SCM3	Protein SCM3	
YBR024W	P38072	SCO2	Protein SCO2, mitochondrial precursor	
YKL193C	P36047	SDS22	Protein phosphatase 1 regulatory subunit SDS22	EGP1
YIR022W	P15367	SEC11	Signal peptidase complex catalytic subunit SEC11	
YLR404W	Q06058	SEI1	Seipin {ECO:0000305|PubMed:18250201}	FLD1 {ECO:0000303|PubMed:18250201}
YJL068C	P40363		S-formylglutathione hydrolase	
YKL006C-A	P43682	SFT1	Protein transport protein SFT1	
YGL066W	P53165	SGF73	SAGA-associated factor 73	
YKR043C	P36136	SHB17	Sedoheptulose 1,7-bisphosphatase	
YOR035C	P51534	SHE4	SWI5-dependent HO expression protein 4	
YDR393W	Q04172	SHE9	Sensitive to high expression protein 9, mitochondrial precursor	MDM33
YJL089W	P46954	SIP4	Protein SIP4	
YKR072C	P36024	SIS2	Phosphopantothenoylcysteine decarboxylase subunit SIS2	HAL3
YEL065W	P39980	SIT1	Siderophore iron transporter 1	ARN3
YOR076C	Q08491	SKI7	Superkiller protein 7	
YGL213C	Q02793	SKI8	Antiviral protein SKI8	REC103
YGR279C	P53334	SCW4	Probable family 17 glucosidase SCW4 precursor	
YGL083W	P53009	SCY1	Protein kinase-like protein SCY1	
YJL045W	P47052		Succinate dehydrogenase [ubiquinone] flavoprotein subunit 2, mitochondrial precursor	
YLR022C	Q07953	SDO1	Ribosome maturation protein SDO1	
YLR026C	Q01590	SED5	Integral membrane protein SED5	
YBL066C	P34228	SEF1	Putative transcription factor SEF1	
YMR059W	Q04675	SEN15	tRNA-splicing endonuclease subunit SEN15	
YAR008W	P39707	SEN34	tRNA-splicing endonuclease subunit SEN34	
YAL067C	P39709	SEO1	Probable transporter SEO1	
YER081W	P40054	SER3	D-3-phosphoglycerate dehydrogenase 1	
YOR165W	Q99287	SEY1	Protein SEY1 {ECO:0000255|HAMAP-Rule:MF_03109}	
YHR098C	P38810	SFB3	SED5-binding protein 3	LST1
YKL051W	P35735	SFK1	Protein SFK1	
YDL212W	Q02774	SHR3	Secretory component protein SHR3	
YHL006C	P38751	SHU1	Suppressor of HU sensitivity involved in recombination protein 1	
YGR112W	P53266	SHY1	Cytochrome oxidase assembly protein SHY1	
YMR140W	P40210	SIP5	Protein SIP5	
YKR101W	P21691	SIR1	Regulatory protein SIR1	
YOR156C	Q12216	NFI1	E3 SUMO-protein ligase SIZ2	SIZ2
YLR187W	Q06315	SKG3	Protein SKG3	
YPR189W	P17883	SKI3	Superkiller protein 3	
YNL167C	Q02100	SKO1	CRE-binding bZIP protein SKO1	ACR1
YBL061C	P34226	SKT5	Protein SKT5 precursor	CAL2;CHS4;CSD4
YKL108W	P34252	SLD2	DNA replication regulator SLD2	DRC1
YDR489W	Q03406	SLD5	DNA replication complex GINS protein SLD5	
YOR060C	Q08457	SLD7	Mitochondrial morphogenesis protein SLD7	
YBR156C	P38283	SLI15	Inner centromere protein-related protein SLI15	
YNL047C	P53955	SLM2	Phosphatidylinositol 4,5-bisphosphate-binding protein SLM2	LIT1
YIL147C	P39928	SLN1	Osmosensing histidine protein kinase SLN1	YPD2
YER180C-A	Q3E784	SLO1	SCOCO-like protein 1	
YBR065C	P38241	ECM2	Pre-mRNA-splicing factor SLT11	SLT11
YLR135W	Q12098	SLX4	Structure-specific endonuclease subunit SLX4 {ECO:0000255|HAMAP-Rule:MF_03110}	
YER116C	P40072	SLX8	E3 ubiquitin-protein ligase complex SLX5-SLX8 subunit SLX8	
YOR307C	P22215	SLY41	Uncharacterized transporter SLY41	
YER120W	P40075	SCS2	Vesicle-associated membrane protein-associated protein SCS2	
YGR245C	P53313	SDA1	Protein SDA1	
YGL056C	P53172	SDS23	Protein SDS23	
YBL104C	P38164	SEA4	SEH-associated protein 4	
YLR208W	Q04491	SEC13	Protein transport protein SEC13	ANU3
YGL233W	P22224	SEC15	Exocyst complex component SEC15	
YBL050W	P32602	SEC17	Alpha-soluble NSF attachment protein	
YLR268W	P22214	SEC22	Protein transport protein SEC22	SLY2;TSL26
YFL005W	P07560	SEC4	Ras-related protein SEC4	SRO6
YGR208W	P42941	SER2	Phosphoserine phosphatase	
YHR119W	P38827	SET1	Histone-lysine N-methyltransferase, H3 lysine-4 specific	KMT2;YTX1
YPL165C	Q12529	SET6	Potential protein lysine methyltransferase SET6	
YBL102W	P38166	SFT2	Protein transport protein SFT2	
YGL228W	P53075	SHE10	Outer spore wall assembly protein SHE10 {ECO:0000305|PubMed:23966878} precursor	
YMR118C	Q04487	SHH3	Mitochondrial inner membrane protein SHH3 {ECO:0000305} precursor	
YIL104C	P40486	SHQ1	Protein SHQ1	
YOR137C	Q12212	SIA1	Protein SIA1 precursor	
YBR103W	P38262	SIF2	SIR4-interacting protein SIF2	EMB1
YOL031C	Q08199	SIL1	Nucleotide exchange factor SIL1 precursor	PER100;SLS1
YDR422C	P32578	SIP1	SNF1 protein kinase subunit beta-1	
YOL113W	Q12469	SKM1	Serine/threonine-protein kinase SKM1	
YGR143W	P33336	SKN1	Beta-glucan synthesis-associated protein SKN1	
YNL311C	P42843	SKP2	F-box protein SKP2	
YOR195W	Q08581	SLK19	Kinetochore protein SLK19	
YIL105C	P40485	SLM1	Phosphatidylinositol 4,5-bisphosphate-binding protein SLM1	LIT2
YDL013W	P32828	SLX5	E3 ubiquitin-protein ligase complex SLX5-SLX8 subunit SLX5	HEX3
YNL196C	P40167	SLZ1	Sporulation-specific with a leucine zipper motif protein 1	
YLR383W	Q12749	SMC6	Structural maintenance of chromosomes protein 6	RHC18
YLR275W	Q06217	SMD2	Small nuclear ribonucleoprotein Sm D2	
YOL122C	P38925	SMF1	Manganese transporter SMF1	ESP1
YGR229C	P32566	SMI1	Cell wall assembly regulator SMI1	KNR4;KTR4
YIL109C	P40482	SEC24	Protein transport protein SEC24	ANU1
YER008C	P33332	SEC3	Exocyst complex component SEC3	PSL1
YPR055W	P32855	SEC8	Exocyst complex component SEC8	
YGR009C	P40357	SEC9	Protein transport protein SEC9	HSS7
YLR430W	Q00416	SEN1	Helicase SEN1	
YIL074C	P40510	SER33	D-3-phosphoglycerate dehydrogenase 2	
YOR184W	P33330	SER1	Phosphoserine aminotransferase	SERC
YJL168C	P46995	SET2	Histone-lysine N-methyltransferase, H3 lysine-36 specific	EZL1;KMT3
YNL049C	P53953	SFB2	SED5-binding protein 2	ISS1
YOR315W	Q12507	SFG1	Superficial pseudohyphal growth protein 1	
YJR134C	P47166	SGM1	Protein SGM1	
YBR130C	P38272	SHE3	SWI5-dependent HO expression protein 3	
YBR258C	P38337	SHG1	COMPASS component SHG1	CPS15
YDL225W	Q07657	SHS1	Seventh homolog of septin 1	SEP7
YDR078C	P38957	SHU2	Suppressor of hydroxyurea sensitivity protein 2	
YLR079W	P38634	SIC1	Protein SIC1	SDB25
YNL032W	P53965	SIW14	Tyrosine-protein phosphatase SIW14	
YKR100C	P36169	SKG1	Suppressor of lethality of KEX2 GAS1 double null mutant protein 1	
YHR149C	P32900	SKG6	Protein SKG6	
YDR328C	P52286	SKP1	Suppressor of kinetochore protein 1	CBF3D
YPL026C	Q12505	SKS1	Serine/threonine-protein kinase SKS1	SHA3
YGL113W	P53135	SLD3	DNA replication regulator SLD3	
YOR008C	P54867	SLG1	Protein SLG1 precursor	WSC1
YOR154W	Q12232	SLP1	Uncharacterized protein SLP1 {ECO:0000305} precursor	
YLR139C	P42900	SLS1	Sigma-like sequence protein 1, mitochondrial precursor	
YDR088C	Q02775	SLU7	Pre-mRNA-splicing factor SLU7	SLT17
YGR081C	P53251	SLX9	Ribosome biogenesis protein SLX9	
YLR147C	P43321	SMD3	Small nuclear ribonucleoprotein Sm D3	
YPL002C	Q12483	SNF8	Vacuolar-sorting protein SNF8	VPS22
YMR095C	Q03144	SNO1	Pyridoxal 5'-phosphate synthase subunit SNO1	
YEL026W	P39990	SNU13	13 kDa ribonucleoprotein-associated protein	
YGR013W	P53207	SNU71	U1 small nuclear ribonucleoprotein component SNU71	
YOR357C	Q08826	SNX3	Sorting nexin-3	GRD19
YMR096W	Q03148	SNZ1	Pyridoxal 5'-phosphate synthase subunit SNZ1	
YBL031W	P38200	SHE1	Mitotic spindle-associated protein SHE1	
YLR164W	Q06236	SHH4	Mitochondrial inner membrane protein SHH4 {ECO:0000305} precursor	
YOL004W	P22579	SIN3	Transcriptional regulatory protein SIN3	CPE1;GAM2;RPD1;SDI1;SDS16;UME4
YNL257C	P38717	SIP3	Membrane-anchored lipid-binding protein SIP3 {ECO:0000303|PubMed:26001273}	LAM3 {ECO:0000303|PubMed:26001273}
YDR409W	Q04195	SIZ1	E3 SUMO-protein ligase SIZ1	ULL1
YLR398C	P35207	SKI2	Antiviral helicase SKI2	
YNL243W	P33338	SLA2	Protein SLA2	END4;MOP2;UFG1
YBR266C	P38343	SLM6	Protein SLM6	
YFL008W	P32908	SMC1	Structural maintenance of chromosomes protein 1	CHL10
YJL074C	P47037	SMC3	Structural maintenance of chromosomes protein 3	
YGR074W	Q02260	SMD1	Small nuclear ribonucleoprotein Sm D1	
YNL086W	P48232	SNN1	Biogenesis of lysosome-related organelles complex 1 subunit SNN1	
YGR197C	P46950	SNG1	Nitrosoguanidine resistance protein SNG1	
YGL131C	P53127	SNT2	E3 ubiquitin-protein ligase SNT2 {ECO:0000305|PubMed:22570702}	
YDR425W	Q04053	SNX41	Sorting nexin-41	
YHR008C	P00447	SOD2	Superoxide dismutase [Mn], mitochondrial precursor	
YDR006C	P40317	SOK1	Protein SOK1	
YHR163W	P38858	SOL3	6-phosphogluconolactonase 3	
YBR152W	P38282	SPP381	Pre-mRNA-splicing factor SPP381	
YMR117C	Q04477	SPC24	Kinetochore protein SPC24	
YLR105C	P16658	SEN2	tRNA-splicing endonuclease subunit SEN2	
YLR321C	Q06168	SFH1	Chromatin structure-remodeling complex subunit SFH1	
YLR403W	P32432	SFP1	Transcription factor SFP1	
YCL010C	P25554	SGF29	SAGA-associated factor 29	
YBL007C	P32790	SLA1	Actin cytoskeleton-regulatory complex protein SLA1	
YPL027W	Q02651	SMA1	Spore membrane assembly protein 1	
YLR086W	Q12267	SMC4	Structural maintenance of chromosomes protein 4	
YDL123W	Q07549	SNA4	Protein SNA4	
YAL030W	P31109	SNC1	Synaptobrevin homolog 1	
YDR073W	P38956	SNF11	Transcription regulatory protein SNF11	
YDR477W	P06782	SNF1	Carbon catabolite-derepressing protein kinase	CAT1;CCR1;GLC2;PAS14
YGR248W	P53315	SOL4	6-phosphogluconolactonase 4	
YER018C	P40014	SPC25	Kinetochore protein SPC25	
YIL123W	P40472	SIM1	Probable secreted beta-glucosidase SIM1 precursor	PBP3
YDL042C	P06700	SIR2	NAD-dependent histone deacetylase SIR2	MAR1
YMR216C	Q03656	SKY1	Serine/threonine-protein kinase SKY1	
YDR515W	Q12034	SLF1	Protein SLF1	
YGR271W	P53327	SLH1	Antiviral helicase SLH1	
YHR030C	Q00772	SLT2	Mitogen-activated protein kinase SLT2/MPK1	MPK1
YBR228W	P38324	SLX1	Structure-specific endonuclease subunit SLX1 {ECO:0000255|HAMAP-Rule:MF_03100}	
YDR189W	P22213	SLY1	Protein SLY1	
YLR034C	Q12078	SMF3	Iron transporter SMF3	
YKL173W	P36048	SNU114	Pre-mRNA-splicing factor SNU114	GIN10
YBR289W	P18480	SNF5	SWI/SNF chromatin-remodeling complex subunit SNF5	SWI10;TYE4
YMR322C	Q04902	SNO4	Probable glutathione-independent glyoxalase SNO4 {ECO:0000250|UniProtKB:Q04432}	HSP34 {ECO:0000303|PubMed:14745011}
YFL059W	P43545	SNZ3	Probable pyridoxal 5'-phosphate synthase subunit SNZ3	
YJR104C	P00445	SOD1	Superoxide dismutase [Cu-Zn]	
YCR073W-A	P37262	SOL2	6-phosphogluconolactonase-like protein 2	
YEL059C-A	Q05676	SOM1	Protein SOM1, mitochondrial precursor	
YPL124W	P33419	SPC29	Spindle pole component 29	LPH3;NIP29
YHR172W	P38863	SPC97	Spindle pole body component SPC97	
YHR153C	P17122	SPO16	Sporulation-specific protein 16	
YIL073C	P40511	SPO22	Sporulation-specific protein 22	
YPL138C	Q03012	SPP1	COMPASS component SPP1	CPS40;SAF41
YER115C	Q01684	SPR6	Sporulation-specific protein	
YJL127C	P35208	SPT10	Protein SPT10	CRE1;SUD1
YMR179W	P35209	SPT21	Protein SPT21	
YGR063C	P32914	SPT4	Transcription elongation factor SPT4	
YHR207C	P38890	SET5	Putative protein lysine methyltransferase SET5	
YOR021C	Q12314	SFM1	Protein arginine N-methyltransferase SFM1 {ECO:0000305|PubMed:22650761}	
YLR336C	Q06132	SGD1	Suppressor of glycerol defect protein 1	
YOR073W	Q08490	SGO1	Shugoshin	
YMR190C	P35187	SGS1	ATP-dependent helicase SGS1 {ECO:0000303|PubMed:7969174}	TPS1
YER096W	P39000	SHC1	Protein SHC1	
YKL130C	P36068	SHE2	SWI5-dependent HO expression protein 2	
YMR175W	P50263	SIP18	Protein SIP18	
YGL208W	P34164	SIP2	SNF1 protein kinase subunit beta-2	SPM2
YLR442C	P06701	SIR3	Regulatory protein SIR3	CMT1;MAR2;STE8
YDR227W	P11978	SIR4	Regulatory protein SIR4	ASD1;STE9;UTH2
YNL007C	P25294	SIS1	Protein SIS1	
YHR206W	P38889	SKN7	Transcription factor SKN7	BRY1;POS9
YML066C	Q04658	SMA2	Spore membrane assembly protein 2	
YHR050W	P38778	SMF2	Manganese transporter SMF2	
YPR101W	Q06091	SNT309	Pre-mRNA-splicing factor SNT309	NTC25
YDR525W-A	P56508	SNA2	Protein SNA2	
YOR327C	P33328	SNC2	Synaptobrevin homolog 2	
YHL025W	P18888	SNF6	Transcription regulatory protein SNF6	
YOR308C	Q12420	SNU66	66 kDa U4/U6.U5 small nuclear ribonucleoprotein component	
YGL093W	P53148	SPC105	Spindle pole body component SPC105	
